MATRIX_NAME=MYNDIGHEDUDBETALINGTYPE_KATEGORI;;;
MATRIX_DIMENSIONS=2;;;
MATRIX_CELLTYPE=BOOLEAN;;;
MATRIX_XTYPE=KATEGORI_TYPE;;;
MATRIX_YTYPE=MYNDIGHEDUDBETALING_TYPE;;;
MATRIX_ZTYPE=null;;;
MATRIX_USE_DEFAULT=NO;;;
MATRIX_DEFAULT=false;;;
MATRIX_EMPTY_CELL_SIGN=-;;;
;;K1;K2
;LØN;false;false
;PENS;true;false
;KNTH;false;false
;SDGP;false;false
;ADGP;false;false
;KSLD;false;false
;OVSK;false;false
;BOSI;false;false
;BOST;false;true
;BFMY;false;false
;BBID;false;false
;FERV;false;false
;KISL;false;false
;RELO;false;false
;SÆLØ;false;false
;FENK;false;false
;FESK;false;false
