MATRIX_NAME=FORDRINGSTYPE_RENTEREGEL;;;;
MATRIX_DIMENSIONS=2;;;;
MATRIX_CELLTYPE=BIGDECIMAL;;;;
MATRIX_XTYPE= String;;;;
MATRIX_YTYPE=FordringTypeKode;;;;
MATRIX_ZTYPE=null;;;;
MATRIX_USE_DEFAULT=NO;;;;
MATRIX_DEFAULT=false;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;
;;RenteRegelNummer;RenteSatsKode;RenteSats
;AFGDÆKN;1;1;
;AFTILLÆ;;;
;BØADMIN;;;
;BØASKAT;;;
;BØBVMEA;;;
;BØBØDIC;;;
;BØBØKON;;;
;BØDAGBØ;;;
;BØFOLKE;;;
;BØGRØNL;;;
;BØNORDI;;;
;BØPÅLAG;;;
;BØPÅLVD;;;
;BØSKATK;;;
;BØTVPLL;;;
;BØULOSH;;;
;CFCIVIL;1;1;
;CFOMKCK;;;
;DAFRIAF;1;1;
;DAGAVEA;1;1;
;DAKAPIT;1;1;
;DAKONTR;;;
;DAKONTT;;;
;DAOPHÆV;1;1;
;DAPAFGI;1;1;
;DAPAFGR;1;1;
;DAPROCE;1;1;
;DAREALR;1;1;
;DAREGMK;1;1;
;DARÅVEJ;1;1;
;DASTEMP;;;
;DATIMKØ;;;
;DATINGL;;;
;DAVÆGTA;1;1;
;DBFOLKF;;;
;DFAFFIS;1;1;
;DFAFFØD;1;1;
;DFAKTIE;1;1;
;DFBØRMV;;;
;DFDEGSO;;;
;DFDGMMA;;;
;DFDOMMA;;;
;DFEFBNI;1;1;
;DFEFMER;1;1;
;DFERSTA;1;1;
;DFFAKTV;1;1;
;DFFMBFY;1;1;
;DFFMTDI;1;1;
;DFFMUDL;1;1;
;DFFMUPE;1;1;
;DFFORBR;;;
;DFFOUDL;1;1;
;DFGAFLL;1;1;
;DFGAFPL;1;1;
;DFGTAOM;1;1;
;DFGTAOU;1;1;
;DFGÆLKO;;;
;DFGÆLST;1;1;
;DFHUSLE;1;1;
;DFINBEU;1;1;
;DFINBIN;1;1;
;DFINDFI;;;
;DFKFEUB;1;1;
;DFKFUBI;1;1;
;DFKOMPG;1;1;
;DFKONFI;;;
;DFKVSUG;;;
;DFMDEGS;;;
;DFMIBUB;1;1;
;DFOPHOL;1;1;
;DFPFFER;1;1;
;DFPFMLG;1;1;
;DFPFOHK;1;1;
;DFREAHU;1;1;
;DFREPAT;1;1;
;DFSPILD;1;1;
;DFTILLÆ;1;1;
;DFTIPNI;1;1;
;DFUDAFG;1;1;
;DFURETF;1;1;
;DFVANDL;1;1;
;DGASAMB;;;
;DGBLYAK;;;
;DGEKSPE;;;
;DGGEGSP;;;
;DGGPDÆK;;;
;DGLEVNE;;;
;DGMILJØ;;;
;DGVURDE;;;
;DOADVOM;1;1;
;DOSAGSO;;;
;DSAKTIE;1;1;
;DSAKTTK;1;1;
;DSDØDSB;1;1;
;DSEJEAV;1;1;
;DSEJEVÆ;1;1;
;DSEUREN;1;1;
;DSFONDS;1;1;
;DSKULBR;1;1;
;DSKURSG;1;1;
;DSMIDPE;1;1;
;DSPENBS;1;1;
;DSPENSA;1;1;
;DSPENSK;1;1;
;DSREJDV;1;1;
;DSRENTE;;;
;DSROYAL;1;1;
;DSSFOND;1;1;
;DSSKULB;1;1;
;DSSÆRPE;1;1;
;DSUDBYT;1;1;
;DSUREOS;1;1;
;DAAEOGS;1;1;
;DAAFSON;1;1;
;DAAKTIE;1;1;
;DAARVEA;1;1;
;FAUBMDP;1;1;
;FFBOLOP;1;1;
;FFBYGGB;;;
;FFBYGTL;1;1;
;FFEJDSK;1;1;
;FFFKVUD;1;1;
;FFRENHV;1;1;
;FFRENOV;1;1;
;FFROTTE;1;1;
;FFVEJVL;1;1;
;FOANKRF;1;1;
;FOBORAH;1;1;
;FOBORAV;1;1;
;FOBØDFO;;;
;FOEGVFT;1;1;
;FOEGVVE;1;1;
;FOERSFO;1;1;
;FOKONFO;;;
;FOOMKFO;;;
;FOROTFO;1;1;
;FOROTÅR;1;1;
;FOSAGFO;;;
;FOSKOBR;1;1;
;FOSPATV;1;1;
;FOSTATA;1;1;
;FOVAFTV;1;1;
;FRGÆTKO;1;1;
;FUDIVER;1;1;
;FULØNIN;1;1;
;FUMODRE;1;1;
;FAAOUYD;1;1;
;GEAFGOP;;;
;GEBETAL;;;
;GEGEBEJ;;;
;GEINDDR;;;
;GELOENI;;;
;GEOPKRÆ;;;
;GERYKKE;;;
;GETILSI;;;
;KFBEBOE;1;1;
;KFBEREG;1;1;
;KFBILLÅ;1;1;
;KFBOLIN;1;1;
;KFBOLYD;1;1;
;KFBOLÅN;1;1;
;KFBOSIK;1;1;
;KFBØFYD;1;1;
;KFBÅDPL;1;1;
;KFDAGIN;1;1;
;KFFLYTT;1;1;
;KFFMTPB;1;1;
;KFFMUBT;1;1;
;KFFORUS;1;1;
;KFGÆTKM;1;1;
;KFGÆTKO;1;1;
;KFGÆTKU;1;1;
;KFHJEHJ;1;1;
;KFKAUTI;1;1;
;KFKIRKE;1;1;
;KFLABPR;1;1;
;KFLOASO;1;1;
;KFMADLE;1;1;
;KFMUSIK;1;1;
;KFPLEJE;1;1;
;KFRENOV;1;1;
;KFSERVL;1;1;
;KFSKOLF;1;1;
;KFSKROT;1;1;
;KFSPILL;1;1;
;KFTILIN;1;1;
;KFUDDLÅ;;;
;KFUDLEJ;1;1;
;KFUREBI;1;1;
;KFURSDP;1;1;
;KFVEJBE;1;1;
;KTBRUTT;1;1;
;KTKTDOM;1;1;
;KTNETTO;1;1;
;LIERHVE;1;1;
;LIMEDIE;1;1;
;OMINKAS;;;
;OMKFORT;;;
;PABKMDL;1;1;
;PABLYAK;1;1;
;PABRSTF;1;1;
;PACFCHF;1;1;
;PACHOKO;1;1;
;PACIGAR;1;1;
;PACIGPP;1;1;
;PACOAEL;1;1;
;PACOANA;1;1;
;PACOAOG;1;1;
;PACOAVA;1;1;
;PACOBEN;1;1;
;PADTSPK;1;1;
;PAEFLAN;1;1;
;PAEMBBP;1;1;
;PAEMBVA;1;1;
;PAENEOG;;;
;PAENSER;1;1;
;PAFLYRE;1;1;
;PAGLØDL;1;1;
;PAGVSSP;1;1;
;PAKAFFE;1;1;
;PAKASIN;1;1;
;PAKLOPM;1;1;
;PAKONIS;1;1;
;PAKULVA;1;1;
;PAKVÆLS;1;1;
;PALEDNV;1;1;
;PALOTGV;1;1;
;PALUDOM;1;1;
;PALYSTF;1;1;
;PAMINFO;1;1;
;PAMINVA;1;1;
;PANICAB;1;1;
;PAPVCFO;1;1;
;PAPVCFT;1;1;
;PARÅSTF;1;1;
;PASPIRI;1;1;
;PASPLDV;1;1;
;PASVOVL;1;1;
;PATOTAL;1;1;
;PAVINFR;1;1;
;POANDEP;1;1;
;POBØDFI;;;
;POBØDGR;;;
;POBØDIS;;;
;POBØDNO;;;
;POBØDNP;;;
;POBØDPO;;;
;POBØDSV;;;
;POERSAN;1;1;
;POERSPO;1;1;
;POERSRP;1;1;
;POKONPO;;;
;POMILIT;1;1;
;POSAGPO;;;
;POSKABØ;;;
;POSKAPO;1;1;
;POTOLAF;1;1;
;POTVAPO;;;
;POVANDY;1;1;
;PSACARB;1;1;
;PSARBGE;;;
;PSARBMB;1;1;
;PSARBRE;;;
;PSBSKAT;1;1;
;PSBSKRE;;;
;PSFOREA;1;1;
;PSRESRE;;;
;PSRESTS;1;1;
;PSSÆRLI;1;1;
;PSSØMAN;1;1;
;PSTILLÆ;1;1;
;PAAAFØL;1;1;
;PAAFFLD;1;1;
;PAAFVOP;1;1;
;PAANSMK;1;1;
;PAANTIB;1;1;
;REINDDR;;;
;REOPKRÆ;;;
;RERETEJ;;;
;RETSAFG;;;
;RFGÆTRM;1;1;
;RFGÆTRU;1;1;
;SFFORAG;1;1;
;SGMISLA;1;1;
;SGMISLC;1;1;
;SGMISLD;1;1;
;SGMISLE;1;1;
;SGMISLF;1;1;
;SGDETSG;1;1;
;SGDETSS;1;1;
;SGINFRS;1;1;
;SGMISFM;;;
;SGOPSVU;1;1;
;SGVOKSU;1;1;
;TUTRANX;;;
;TUUDLÆG;;;
;UBUDEUN;1;1;
;UHFORSK;1;1;
;UHKOMIN;1;1;
;UHKONVE;1;1;
;UHTILLÆ;1;1;
;UHÆGTEF;1;1;
;VSARBMB;1;1;
;VSASKAT;1;1;
;VSDIVMO;1;1;
;VSFOUDM;1;1;
;VSIMPOR;1;1;
;VSLØAFG;1;1;
;VSMOMSE;1;1;
;VSSELAC;1;1;
;VSSELSK;1;1;
;VSSELSL;1;1;
;VSTOLDE;1;1;
;VSUDMSK;1;1;
;;;;
